Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
149.0597,C00079,M-NH3+H[1+],57.8,7.6466770025263e-05,EC00060
149.0598,C00079,M-NH3+H[1+],154.6,2.35332299780566e-05,EC00059
164.0716,C00079,M-H[-],129.2,0.000123533230009798,EC00063
164.0718,C00079,M-H[-],58.4,7.64667699968413e-05,EC00060
165.0753,C00079,M(C13)-H[-],57.7,0.000176466770000161,EC00060
166.0863,C00079,M+H[1+],154.5,2.35332299780566e-05,EC00059
167.0896,C00079,M(C13)+H[1+],154.3,7.6466770025263e-05,EC00059
180.0665,C00079,M-H+O[-],126.2,0.000133533230012972,EC00063
180.0666,C00079,M-H+O[-],58,3.35332300096525e-05,EC00060
94.0652,C00079,M-C3H4O2+H[1+],156.2,2.35332300064783e-05,EC00059
110.06,C00082,M-C3H4O2+H[1+],279.2,7.64667699968413e-05,EC00064
110.0601,C00082,M-C3H4O2+H[1+],62.9,2.35332300064783e-05,EC00065
110.06012,C00082,M-C3H4O2+H[1+],154.6,4.35332299986158e-05,EC00066
136.0757,C00082,M-HCOOH+H[1+],292.8,7.64667699968413e-05,EC00064
136.07588,C00082,M-HCOOH+H[1+],163.9,0.00010353323000345,EC00067
138.0914,C00082,M-CO2+H[1+],144.6,2.35332299780566e-05,EC00066
146.0601,C00082,M-H4O2+H[1+],112,0.000123533229981376,EC00068
146.06012,C00082,M-H4O2+H[1+],155,0.000143533229987725,EC00066
154.0862,C00082,M-CO+H[1+],147.6,2.35332299780566e-05,EC00066
164.0704,C00082,M-H2O+H[1+],152.2,0.000176466770000161,EC00066
164.0706,C00082,M-H2O+H[1+],277.5,2.35332300064783e-05,EC00064
164.0707,C00082,M-H2O+H[1+],60.2,0.000123533229981376,EC00065
165.0546,C00082,M-NH3+H[1+],168.8,7.6466770025263e-05,EC00067
180.0665,C00082,M-H[-],126.2,0.000123533230009798,EC00068
180.0666,C00082,M-H[-],58,2.35332300064783e-05,EC00065
182.0805,C00082,M+H[1+],166.8,0.000676466770016759,EC00067
182.0808,C00082,M+H[1+],67.7,0.0003764667700068,EC00065
182.0811,C00082,M+H[1+],288.4,7.6466770025263e-05,EC00064
183.0838,C00082,M(C13)+H[1+],165.9,0.000776466770020079,EC00067
200.0916,C00082,M+H2O+H[1+],279.1,0.000176466770028583,EC00064
200.0918,C00082,M+H2O+H[1+],110.8,2.35332299780566e-05,EC00068
204.0624,C00082,M+Na[1+],285.8,0.000776466770020079,EC00064
204.0625,C00082,M+Na[1+],214.7,0.000676466770016759,EC00069
129.0081,C00085,M-2H[2-],49.7,0.000526466770025991,EC00070
341.1081,C00089,M-H[-],112.5,0.000823533230004614,EC00071
365.1053,C00089,M+Na[1+],189.1,0.000176466770028583,EC00072
387.1133,C00089,M+HCOO[-],118.8,0.000545000000045093,EC00071
109.0295,C00090,M-H[-],65.1,2.35332300064783e-05,EC00073
111.0441,C00090,M+H[1+],50.5,2.35332300064783e-05,EC00074
111.04417,C00090,M+H[1+],108.3,9.35332300002756e-05,EC00075
125.0245,C00090,M-H+O[-],50.4,6.64667699936672e-05,EC00074
129.0546,C00090,M+H2O+H[1+],50.8,7.6466770025263e-05,EC00074
150.056,C00090,M+ACN-H[-],62.5,6.85332299781294e-05,EC00073
129.0081,C00092,M-2H[2-],49.7,0.000526466770025991,EC00070
173.0218,C00093,M+H[1+],289.3,0.000823533230004614,EC00076
179.056,C00095,M-H[-],50.1,0.000123533229981376,EC00023
203.0526,C00095,M+Na[1+],171.9,7.64667699968413e-05,EC00024
220.0823,C00095,M+ACN-H[-],53.5,0.000368533229988088,EC00023
89.0245,C00095,M-2H[2-],50.3,7.64667699968413e-05,EC00023
89.02459,C00095,M-2H[2-],180.3,0.000166466769996987,EC00025
88.0404,C00099,M-H[-],52.6,2.35332300064783e-05,EC00028
88.04045,C00099,M-H[-],155.1,2.64667699951815e-05,EC00029
90.055,C00099,M+H[1+],178.9,2.35332300064783e-05,EC00030
91.0583,C00099,M(C13)+H[1+],179.2,7.64667699968413e-05,EC00030
129.0081,C00103,M-2H[2-],49.7,0.000526466770025991,EC00070
111.02,C00106,M-H[-],20.4,2.35332300064783e-05,EC00077
113.0345,C00106,M+H[1+],116.6,7.64667699968413e-05,EC00078
113.03457,C00106,M+H[1+],274.2,6.46676998883322e-06,EC00079
113.0346,C00106,M+H[1+],10.8,2.35332300064783e-05,EC00077
152.0467,C00106,M+ACN-H[-],12.8,0.000131466770000088,EC00077
93.0096,C00106,M-H2O-H[-],251.4,0.000176466770000161,EC00079
95.024,C00106,M-H2O+H[1+],115.2,2.35332300064783e-05,EC00078
110.06012,C00108,M-CO+H[1+],154.6,0.000143533230016146,EC00080
118.0298,C00108,M-H2O-H[-],17.1,2.35332300064783e-05,EC00081
118.02989,C00108,M-H2O-H[-],146.2,6.64667699936672e-05,EC00082
120.0445,C00108,M-H2O+H[1+],156.7,0.000123533230009798,EC00080
136.0404,C00108,M-H[-],141.9,2.35332299780566e-05,EC00082
138.055,C00108,M+H[1+],162.5,2.35332300064783e-05,EC00080
139.0584,C00108,M(C13)+H[1+],164.6,2.35332300064783e-05,EC00080
152.0354,C00108,M-H+O[-],160.4,6.64667700220889e-05,EC00080
94.0652,C00108,M-CO2+H[1+],156.2,2.35332300206892e-05,EC00080
101.0245,C00109,M-H[-],49.5,7.64667699968413e-05,EC00083
101.02458,C00109,M-H[-],134,0.000156466769993813,EC00084
103.039,C00109,M+H[1+],73.9,2.35332300064783e-05,EC00085
104.0424,C00109,M(C13)+H[1+],158.1,2.35332300064783e-05,EC00086
85.0284,C00109,M-H2O+H[1+],158.2,2.35332300064783e-05,EC00086
152.9949,C00111,M-H2O+H[1+],293.5,0.000223533230013118,EC00087
152.99499,C00111,M-H2O+H[1+],202.6,0.000313533230013263,EC00088
171.0056,C00111,M+H[1+],287.4,0.000323533229988016,EC00087
171.00567,C00111,M+H[1+],35,0.000393533230010235,EC00089
171.0057,C00111,M+H[1+],214,0.000423533229991335,EC00090
171.00573,C00111,M+H[1+],146.3,0.000453533230000858,EC00091
98.98422,C00111,M-C3H4O2+H[1+],281.8,4.35332300128266e-05,EC00087
229.0123,C00117,M-H[-],198.8,0.0003764667700068,EC00092
171.0056,C00118,M+H[1+],287.4,0.000323533229988016,EC00087
171.00567,C00118,M+H[1+],35,0.000393533230010235,EC00089
171.0057,C00118,M+H[1+],214,0.000423533229991335,EC00090
171.00573,C00118,M+H[1+],146.3,0.000453533230000858,EC00091
225.0695,C00120,M-H2O-H[-],135.6,0.000823533229976192,EC00094
245.095,C00120,M+H[1+],93.9,0.00047646677001012,EC00095
267.0773,C00120,M+Na[1+],93.9,0.000176466770028583,EC00095
279.0561,C00120,M+Cl[-],128.4,0.000999999999976353,EC00094
131.035,C00121,M-H2O-H[-],176.5,7.6466770025263e-05,EC00096
131.0351,C00121,M-H2O-H[-],49.4,0.000176466770028583,EC00097
149.0455,C00121,M-H[-],115.2,2.35332299780566e-05,EC00098
195.0506,C00121,M+HCOO[-],112.7,0.000155000000006567,EC00098
114.0913,C00123,M-H2O+H[1+],281.7,2.35332299922675e-05,EC00099
114.0914,C00123,M-H2O+H[1+],156.5,0.000123533229981376,EC000100
114.09144,C00123,M-H2O+H[1+],66.5,0.000163533229994073,EC000101
130.0874,C00123,M-H[-],174.7,7.64667699968413e-05,EC000102
131.0908,C00123,M(C13)-H[-],156.1,7.64667699968413e-05,EC000100
132.1019,C00123,M+H[1+],149.3,2.35332299780566e-05,EC000103
133.1053,C00123,M(C13)+H[1+],149.4,2.35332299780566e-05,EC000103
150.1125,C00123,M+H2O+H[1+],156.9,2.35332299780566e-05,EC000100
154.0839,C00123,M+Na[1+],157.2,2.35332299780566e-05,EC000100
86.0965,C00123,M-HCOOH+H[1+],156.3,2.35332300064783e-05,EC000100
88.1121,C00123,M-CO2+H[1+],145,2.35332299922675e-05,EC000103
96.08086,C00123,M-H4O2+H[1+],148.3,0.00018353322998621,EC000103
179.056,C00124,M-H[-],50.1,0.000123533229981376,EC00023
203.0526,C00124,M+Na[1+],171.9,7.64667699968413e-05,EC00024
220.0823,C00124,M+ACN-H[-],53.5,0.000368533229988088,EC00023
89.0245,C00124,M-2H[2-],50.3,7.64667699968413e-05,EC00023
89.02459,C00124,M-2H[2-],180.3,0.000166466769996987,EC00025
305.068,C00127,M-2H[2-],147.3,0.000723533230029716,EC000104
88.0404,C00133,M-H[-],52.6,2.35332300064783e-05,EC00028
88.04045,C00133,M-H[-],155.1,2.64667699951815e-05,EC00029
90.055,C00133,M+H[1+],178.9,2.35332300064783e-05,EC00030
91.0583,C00133,M(C13)+H[1+],179.2,7.64667699968413e-05,EC00030
110.0713,C00135,M-HCOOH+H[1+],197.6,7.64667699968413e-05,EC000105
112.0869,C00135,M-CO2+H[1+],189.5,7.64667699968413e-05,EC000106
136.0518,C00135,M-H2O-H[-],177,0.000176466770000161,EC000107
136.0519,C00135,M-H2O-H[-],49.5,0.000276466770003481,EC000108
138.0662,C00135,M-H2O+H[1+],187.4,2.35332300064783e-05,EC000106
154.0624,C00135,M-H[-],50.1,0.000176466770000161,EC000108
154.0625,C00135,M-H[-],180.2,0.000276466770003481,EC000107
155.0655,C00135,M(C13)-H[-],54.1,0.000123533230009798,EC000108
155.0689,C00135,M[1+],163.6,0.000599999999991496,EC000109
156.0765,C00135,M+H[1+],166.4,0.000276466770003481,EC000109
156.0767,C00135,M+H[1+],197.5,7.6466770025263e-05,EC000105
157.0801,C00135,M(C13)+H[1+],197.4,7.6466770025263e-05,EC000105
178.0587,C00135,M+Na[1+],197.5,7.6466770025263e-05,EC000105
161.0455,C00137,M-H2O-H[-],101.1,2.35332299780566e-05,EC00022
179.056,C00137,M-H[-],50.1,0.000123533229981376,EC00023
203.0526,C00137,M+Na[1+],171.9,7.64667699968413e-05,EC00024
220.0823,C00137,M+ACN-H[-],53.5,0.000368533229988088,EC00023
89.0245,C00137,M-2H[2-],50.3,7.64667699968413e-05,EC00023
89.02459,C00137,M-2H[2-],180.3,0.000166466769996987,EC00025
186.076,C00140,M-H4O2+H[1+],281.6,2.35332299780566e-05,EC000110
202.072,C00140,M-H2O-H[-],58.5,2.35332299780566e-05,EC000111
204.0868,C00140,M-H2O+H[1+],279.1,0.000223533230013118,EC000110
220.0823,C00140,M-H[-],53.5,0.000323533229988016,EC000111
222.0973,C00140,M+H[1+],157.2,0.000123533229981376,EC000112
241.0563,C00140,M+Na-2H[-],168.2,0.00104706646001773,EC000112
244.0791,C00140,M+Na[1+],160.5,7.64667699968413e-05,EC000112
256.0589,C00140,M+Cl[-],54.8,9.9999999974898e-05,EC000111
258.0558,C00140,M+Cl37[-],54,0,EC000111
260.053,C00140,M+K[1+],162.9,0.000323533230016437,EC000112
266.0877,C00140,M+HCOO[-],52.9,0.000155000000006567,EC000111
115.0402,C00141,M-H[-],246.6,0.00017646676998595,EC000113
115.04021,C00141,M-H[-],58.3,0.000186466769989124,EC000114
116.0435,C00141,M(C13)-H[-],58.6,7.64667699826305e-05,EC000114
131.0351,C00141,M-H+O[-],49.4,0.000166466769996987,EC000115
156.0666,C00141,M+ACN-H[-],155.3,3.14667699967686e-05,EC000116
156.0667,C00141,M+ACN-H[-],58.5,0.000131466770000088,EC000114
97.0295,C00141,M-H2O-H[-],260.3,7.64667699826305e-05,EC000113
97.0296,C00141,M-H2O-H[-],49.9,0.00017646676998595,EC000115
99.0441,C00141,M-H2O+H[1+],152.6,0.000123533229995587,EC000116
456.1638,C00143,M-H[-],134.9,7.64667699968413e-05,EC000117
