Metabolite,Identified_Name,p_value_12h,mean_YPGD_12h,mean_NPGD_12h,fold_change_12h,p_value_24h,mean_YPGD_24h,mean_NPGD_24h,fold_change_24h
C18_88.0404_155.1,L-Alanine*,0.9015461668791724,16.146541022127714,16.123085189227123,0.002097304725104642,0.8620234838133766,15.992878460493179,16.037620355110892,-0.00403046807601521
C18_88.0404_52.6,Sarcosine,0.6334633145805868,15.535371872352336,16.30759403409546,-0.06998717165916192,0.7442921919946379,15.44900941995797,16.082685287243685,-0.05799397348236794
C18_88.988_92.3,Oxalate,0.7041952866938316,15.307468137093345,15.22441621078986,0.007848771885551262,0.4471371904626965,15.078633141933127,15.29468129209141,-0.020524388436600163
C18_889.5091_199.4,Divinylchlorophyll a,0.00543125068064498,13.563806563079115,12.353855240513026,0.1348007842275033,0.16815689714123103,11.293394722842105,12.550546752666916,-0.15227099890275916
C18_89.0245_180.3,Formaldehyde,0.4250734957159137,20.138604226989695,19.72309614571254,0.030077651235666174,0.004425275502685768,20.47003056220758,19.213270357512386,0.091410150297157
C18_89.0245_50.3,Glycerone,0.13377614008786232,23.644939946272363,23.038999446817353,0.037453413815718595,0.3007673417030024,23.158837807603042,22.759690364349257,0.025081925061733245
C18_905.5061_194.2,Chlorophyll b,0.8033096244654585,11.623716282012438,11.354475792077444,0.033810292489653386,0.9432770788005429,11.15160308662319,11.03467451233058,0.015207042769488043
C18_93.0347_250.8,Benzene oxide,0.11112543995603422,18.70133192242939,19.063663377332045,-0.02768435846188214,0.9791235358903204,18.85943999525377,18.86807574397093,-6.604597107488205e-4
C18_95.0139_49.9,Protoanemonin,0.11208753440507994,16.56345153922667,16.4125789438199,0.013201386630511004,0.9891689559585874,16.377649937591894,16.37891410652433,-1.113554063925217e-4
C18_96.9601_6.8,Sulfate,0.3894563655686061,20.14008412809945,20.224309229685286,-0.006020717896187654,0.29017492824475144,20.328557464065042,20.22854869659945,0.007115026636041612
C18_971.0523_166.8,Casuarictin,0.5189081131664888,14.520583528229542,14.38434112132799,0.013600291494485021,0.06481137391665841,14.798356288464579,14.435778916173005,0.03578798529539345
C18_975.0239_168.6,Bis(5'-adenosyl) pentaphosphate,0.11570502331514029,14.43650618733832,13.785578507148376,0.06656182363420929,0.2079966768412666,13.347514137358905,13.983058564573064,-0.06710888402334057
C18_975.6244_231.2,beta-D-Mannosylphosphodecaprenol,0.725500255358806,12.943793208794101,12.850180698687971,0.010471817761380186,0.35258176742192876,10.78699305590958,11.865610063157474,-0.13749351743765686
