Metabolite,t.score,p.value,FDR,logFC,Rank
HILIC_88.05789901_64.27036148,-0.10253782913753967,0.9188626985551605,0.9999999999999997,-0.04088320515843839,39
HILIC_88.07574809_83.18402635,-1.3084180560154615,0.19849913179408046,0.9999999999999997,-0.736047967296027,40
HILIC_88.52081017_222.3868003,0.7541614077162487,0.4553463857921778,0.9999999999999997,0.4785099999264096,41
HILIC_88.61739048_81.10970972,-1.1762371074383193,0.24673138699096359,0.9999999999999997,-1.0040180312325409,42
HILIC_88.95268286_252.2971503,-1.1627630208514599,0.25209168281527866,0.9999999999999997,-0.7758921067585681,43
HILIC_88.96846102_294.2321983,0.5248491127635911,0.6027013684463709,0.9999999999999997,0.499260244487296,44
HILIC_89.001987_284.0176711,0.2453633423743554,0.8074800313432384,0.9999999999999997,0.1361409973541803,45
HILIC_89.00201042_81.13984198,0.639470318028785,0.5263088417306854,0.9999999999999997,0.7888549667421052,46
HILIC_89.0083215_71.42808776,-0.6044820667315954,0.549073820087904,0.9999999999999997,-0.385936458903168,47
HILIC_89.00833293_279.7373193,0.590540450683048,0.5582836678140899,0.9999999999999997,0.13855154077911114,48
HILIC_89.03864944_34.64945445,-0.573084406203653,0.5699241683123771,0.9999999999999997,-0.2752098956304406,49
HILIC_89.04188835_54.55857461,0.22536555282603052,0.8228884656181773,0.9999999999999997,0.16088350470173415,50
HILIC_89.059759_130.7241784,-0.3661753832340994,0.716241374735133,0.9999999999999997,-0.1823810770527873,51
HILIC_89.05982223_296.0381341,0.4640588653240882,0.6452222987914324,0.9999999999999997,0.21829421283690248,52
HILIC_89.07096677_288.26625,-1.3405676884056816,0.18792811668184484,0.9999999999999997,-1.3492909016965773,53
HILIC_89.10736192_274.5428103,6.02507017502282e-4,0.9995223841619658,0.9999999999999997,4.632829425325529e-4,54
HILIC_89.50682187_281.9276928,1.238411543084576,0.22307133882124505,0.9999999999999997,0.6098665370639837,55
HILIC_89.51002308_192.2789219,-0.3346631600513217,0.7396980004895097,0.9999999999999997,-0.18400201974304592,56
HILIC_89.61936919_24.73978144,0.7915197388580255,0.43349664229495377,0.9999999999999997,0.7564645407098867,57
