Metabolite,t.score,p.value,FDR,logFC,Rank
HILIC_99.04411687_60.08975595,-1.5060374280937157,0.1402295484083703,0.7851055614738052,-0.5045586577675192,170
HILIC_99.05533344_297.0103276,-0.5738055643832993,0.5694408925120236,0.9913379189285378,-0.21672874152185462,171
HILIC_99.05533651_163.9203534,0.1851058805793668,0.8541189572236143,1,0.04589863153013678,172
HILIC_99.05534101_87.08416295,0.009479298409041022,0.9924857410177694,1,0.002063802931718277,173
HILIC_99.06341917_289.4532463,1.9311837946353234,0.06085671002750545,0.6269238783817119,0.6566431763919387,174
HILIC_99.0805155_142.5193386,-1.9950887224091627,0.05315533652986348,0.597129438335422,-0.65426213314941,175
HILIC_99.08051802_292.26679,-0.6290712876892233,0.5330222614687015,0.9833164118236528,-0.16242751634431613,176
HILIC_99.09169577_286.9111017,1.810013690618229,0.07811482896817454,0.6878833873822994,0.6793873430302015,177
HILIC_99.09171677_100.5174632,1.5474040875279267,0.12995807005822024,0.7695072627505222,0.5131989242942392,178
HILIC_99.51225545_55.61824635,-1.7412148170385535,0.08964294650735502,0.7023904516472353,-0.6516900333780801,179
HILIC_99.51225712_276.7252816,0.06666634686589412,0.9471927753128819,1,0.01039407330335797,180
HILIC_99.95920468_280.9702017,0.7323968694411648,0.4683676264235964,0.9777549229263227,0.5158201100498503,181
HILIC_99.96468762_278.0108076,-0.2363998820658244,0.8143772382530202,1,-0.08319349005773019,182
HILIC_99.99563149_193.6873917,-0.17500267435959163,0.8619958361039801,1,-0.07741602334463063,183
HILIC_100.0111241_274.4741316,0.8157320872445952,0.41967813691552724,0.9716822081080376,0.19724876823550902,184
HILIC_100.0111519_27.55851035,-0.28596318134699644,0.7764413717008052,1,-0.09118144802302447,185
HILIC_100.0139313_284.8321984,0.7731295911927716,0.4441728266952232,0.9745894987688215,0.1657968224701583,186
HILIC_100.0216084_32.48403668,-1.7174728461101523,0.09393829422208919,0.7121317722762723,-1.5584936876961817,187
HILIC_100.02167_182.9745393,-2.632710413750248,0.0121320607470291,0.3197683515102585,-2.220231391129738,188
HILIC_100.0243614_259.7935001,-1.0837081287411654,0.2852431986420584,0.9295944216943315,-0.3053536712808839,189
HILIC_100.0393283_294.4010288,-1.7704051747621758,0.08458835584602657,0.6959761542836904,-0.4842540120705462,190
HILIC_100.0393634_118.7619905,-1.1569898658703313,0.254414022274292,0.906563406245264,-0.37834840035528866,191
HILIC_100.050611_34.59658404,0.6788276581257247,0.5013128336402339,0.9781047779839798,0.35491419037500277,192
HILIC_100.0712647_29.4520803,-0.17315839175812314,0.863435281271707,1,-0.06335233519622924,193
HILIC_100.0757693_36.99313229,-0.8250875381614903,0.414411646058361,0.9702967640516138,-0.4476110954257816,194
HILIC_100.1121549_285.3191436,1.5573741454948777,0.1275754463334649,0.767062863320257,0.4122629980845763,195
HILIC_100.5099716_276.5208986,0.5369023388024785,0.5944284823793651,0.9921034274533279,0.10061962401478718,196
HILIC_100.5264513_192.3290747,0.20478483305014217,0.8388204560346221,1,0.1748912632157017,197
